ID,Sport Key,Sport Title,Start Time,Scrape Time,Match,Team,Start Date,Best Bookmaker,Best Odds,Fair Odds Average,Expected Value,Outcomes,Result
b5fc96661bb3a5cd2e03f13d569bc5c4,basketball_ncaab,NCAAB,2026-02-15T19:05:17Z,2026-02-15T19:19:42Z,South Florida Bulls @ Florida Atlantic Owls,South Florida Bulls,2026-02-15,Kalshi,1.43,1.37,0.05,2.0,Not Found
bd2d3a30650ecac7e8ddbe85795ecff8,basketball_ncaab,NCAAB,2026-02-15T19:02:55Z,2026-02-15T19:19:42Z,Oakland Golden Grizzlies @ Robert Morris Colonials,Robert Morris Colonials,2026-02-15,Kalshi,2.27,2.19,0.04,2.0,Not Found
faf971daebea18a4d2c90231f89baf97,basketball_ncaab,NCAAB,2026-02-15T18:02:37Z,2026-02-15T19:19:42Z,Holy Cross Crusaders @ Loyola (MD) Greyhounds,Holy Cross Crusaders,2026-02-15,Kalshi,1.72,1.67,0.03,2.0,Not Found
834cd912b2a835db0873d70322278afa,basketball_ncaab,NCAAB,2026-02-15T19:05:42Z,2026-02-15T19:43:28Z,Tulane Green Wave @ UAB Blazers,UAB Blazers,2026-02-15,Kalshi,3.23,2.92,0.11,2.0,Not Found
0ee4a18147d583ed1cea44af817dcf1f,basketball_ncaab,NCAAB,2026-02-15T19:02:35Z,2026-02-15T19:43:28Z,Merrimack Warriors @ Quinnipiac Bobcats,Quinnipiac Bobcats,2026-02-15,Kalshi,1.56,1.5,0.04,2.0,Not Found
f4fe59fad696480d9613acd6d8701228,basketball_ncaab,NCAAB,2026-02-15T19:02:53Z,2026-02-15T19:43:28Z,Indiana St Sycamores @ Valparaiso Beacons,Indiana St Sycamores,2026-02-15,Kalshi,5.56,5.41,0.03,2.0,Not Found
91f39309326154ee15de0e7153f23725,basketball_ncaab,NCAAB,2026-02-15T19:04:09Z,2026-02-15T19:43:28Z,IUPUI Jaguars @ Fort Wayne Mastodons,Fort Wayne Mastodons,2026-02-15,Kalshi,1.25,1.21,0.03,2.0,Not Found
49d93f5d9f2bb723d26ec650e29d8513,basketball_ncaab,NCAAB,2026-02-15T19:02:47Z,2026-02-15T19:57:54Z,North Texas Mean Green @ Temple Owls,North Texas Mean Green,2026-02-15,Kalshi,4.0,3.54,0.13,2.0,Not Found
7ded441d927efc12455b3b5b001a6430,basketball_wncaab,WNCAAB,2026-02-15T19:00:00Z,2026-02-15T20:39:09Z,Kansas St Wildcats @ Iowa State Cyclones,Kansas St Wildcats,2026-02-15,Kalshi,8.33,7.34,0.13,2.0,Not Found
1dd11ab2c151a75e166c248c3e073da1,basketball_ncaab,NCAAB,2026-02-15T20:02:46Z,2026-02-15T20:39:09Z,Green Bay Phoenix @ Milwaukee Panthers,Milwaukee Panthers,2026-02-15,Kalshi,2.63,2.44,0.08,2.0,Not Found
d1d09d6aaebffd9802ab173c283ed998,basketball_ncaab,NCAAB,2026-02-15T20:05:57Z,2026-02-15T20:39:09Z,Drake Bulldogs @ Northern Iowa Panthers,Northern Iowa Panthers,2026-02-15,Kalshi,1.23,1.19,0.03,2.0,Not Found
c0ad8da0dc118fdd55a500ca6dc18abf,basketball_ncaab,NCAAB,2026-03-01T03:40:00Z,2026-03-01T04:34:35Z,UC Santa Barbara Gauchos @ UC Irvine Anteaters,UC Santa Barbara Gauchos,2026-03-01,Kalshi,6.25,5.4,0.16,2.0,Not Found
865138e99e12ec418e0cb083f380ed83,basketball_ncaab,NCAAB,2026-03-01T02:35:00Z,2026-03-01T04:34:35Z,Long Beach St 49ers @ CSU Bakersfield Roadrunners,Long Beach St 49ers,2026-03-01,Kalshi,1.82,1.63,0.12,2.0,Not Found
